I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
26.501287622097152,20.096538773001157,-2.176341519165362,-31.86202890671302,18.047434622552828,2.1640135429229304,-49.71009652997782,-46.45312863730214,-20.70749210078793,-16.81298321529175,-12.644417787074417,16.937910868015933
29.07306997894193,17.079510104678775,-2.3313592797148885,-28.79570831990077,15.430086814873903,2.006967052818254,-46.57857436414815,-48.70620617498025,-21.895118126138186,-18.372217193123106,-15.063699821565024,17.247119794827995
31.262073670577593,14.171631385852379,-2.8113623506560543,-26.0588737395492,13.537211266513623,1.5251272434416023,-44.091287830440706,-50.467300696469465,-23.082885489144246,-20.180091617029575,-17.475175440179555,16.981569397238673
33.06829869700232,11.37290261652197,-3.6163507319852215,-23.651525165657404,12.368807977473807,0.7184941147929749,-42.248236928855476,-51.73641220176978,-24.27079418980611,-22.23660648701116,-19.87884464291801,16.14125967524751
34.49174505821975,8.683323796685727,-4.746324423704209,-21.573662598226292,11.924876947753546,-0.4129323331271735,-41.049421659390646,-52.51354069087938,-25.45884422812378,-24.541761803066947,-22.274707429779482,14.726190628854965
35.53241275426626,6.102894926376393,-6.20128342578937,-19.825286037235855,12.205418177368301,-1.869152100311112,-40.494842022008015,-52.79868616376734,-26.647035604073608,-27.09555756517875,-24.662763800748507,12.736362258066947
36.26664656325556,3.204267432969573,-7.959625889212475,-19.0219213775963,13.210890517126245,-3.6294793650995416,-41.405300984315545,-52.752849985778084,-28.141452444451716,-29.699867237181934,-27.984134411972263,9.442668943379886
36.5908357148237,0.8222129632104043,-10.104710874209559,-18.09530774380437,15.147054600294723,-5.773902071290195,-42.54737539623238,-52.137759151106366,-29.345785306162725,-33.10888412491386,-30.726723490314725,5.78092552778844
36.47771421676225,-0.6668802706117276,-12.767586413596291,-16.57760015744134,17.79194715700305,-8.376287288377625,-43.78882292973685,-50.58413803233634,-30.697200412880193,-36.79989327182557,-33.265015597578895,2.214950645454337
35.93657593365424,-2.423191308922469,-16.00070366321779,-14.937943754881417,20.85992090997661,-11.471719828266941,-45.00051778612033,-48.243710393122456,-32.170540038676336,-39.933246947879525,-35.575396711089525,-0.8037941563693494
34.989825672737425,-4.679191616507524,-19.75672247147486,-13.199332459169455,24.02920729766447,-15.094786474844568,-46.01560604412225,-45.35708663777223,-33.82314906613283,-42.30671686459573,-37.53970199694686,-2.911189876671415
33.219002042969805,-7.3946063929633965,-23.98618861524301,-11.40304374684456,26.969479197365217,-19.352397473182464,-46.03543953110966,-42.219409268158415,-35.86032603322201,-43.07632521381947,-38.73797133579228,-3.898956514985912
30.663915623281355,-10.43941106973216,-28.467183600118005,-9.65959741840561,29.369413648360023,-24.227867684486228,-44.997536909337214,-39.14769184430952,-38.432597879747846,-42.1555207948586,-39.38187754460432,-3.7213630605756407
27.482739030005177,-13.552075179888561,-32.65754823289899,-8.172500946915534,30.964254575036648,-29.40736845416268,-43.02523270346137,-36.44985144873681,-41.48831246584632,-39.772835731128,-39.45556722868969,-2.5346054728383933
23.871218288059026,-16.02904868205769,-35.37216002552486,-7.384158489252513,31.608558879937846,-33.93967395894833,-40.351526665161146,-34.395434654426936,-44.62266156039732,-36.74441310609927,-38.600927649942605,-1.0328939493883809
20.001263193473278,-17.89491050433753,-36.550884959027826,-7.61559292329639,31.549731295688616,-38.05232257879743,-37.28498587939612,-33.18803699653836,-47.369359542322854,-33.52749883979595,-36.58066141142899,0.47204561924945665
16.698520122376067,-19.690947096014497,-36.13101496128911,-8.141215788522459,30.638189067453823,-41.81570987976238,-34.17108726597144,-32.93941594779062,-49.45653111527463,-30.496481339516322,-33.60511195918025,1.0677770477750528
14.100157179766029,-20.66128771457261,-34.17130214568351,-8.074717949428305,28.77418258096077,-45.2218669521144,-31.349000476369838,-33.238321724211346,-51.3503097427656,-28.00077740342931,-30.742770186329835,0.5475220685384556
11.602747654891573,-20.49040039293868,-30.781489115775912,-6.860571512545903,26.236946572849774,-48.29772501602838,-29.103811185837912,-33.744833322434715,-53.346540353028104,-26.315895184350666,-28.87250622070951,-1.0307490215936923
9.298861967236007,-19.988414299743454,-26.24016197311539,-4.740373279142659,23.357445593391276,-51.06450861917892,-27.61418478079213,-34.542984371610146,-55.253237652890675,-25.601601867141653,-28.129770202791406,-3.4557004281159607
7.177458484864474,-19.229493845525212,-21.23409878252278,-2.025153941109238,20.478005503173335,-53.53203385947154,-26.764982314311055,-35.56012356318206,-57.0704016423515,-25.619122529871674,-28.147299900511825,-6.401796281017596
4.956168614555281,-18.22304881650234,-16.569755462189278,0.8515499685063332,17.92179785287317,-55.71011683481083,-25.971816374372793,-36.72359958859124,-58.798032321410574,-26.375713614072083,-28.903892256114887,-9.476372199552316
2.9334300920472742,-17.05561886306714,-12.8198380484082,3.4157112418306497,15.96395138105072,-57.60857364310323,-25.425000215735054,-37.960761139280294,-60.43612969006972,-28.0543916769293,-30.582570318971193,-12.274612999624878
1.4039413065365807,-15.813743635613719,-10.476659548838143,5.24862789701092,14.804290629950628,-59.23722038225333,-25.12478898255722,-39.19895690669,-61.98469374832712,-30.483438758577904,-33.01161740062162,-14.442436543797157
0.6668411287719209,-14.583962784536197,-9.819935425804942,6.096539813608615,14.541701679324433,-60.6058731501671,-25.052997769869762,-40.36553558226842,-63.44372449618277,-33.43904308931633,-35.96722173135822,-15.747283733926452
0.9507686517827096,-13.45281596022869,-10.677354666166138,6.071738938759154,15.035911479855713,-61.72434804475051,-25.191441672712244,-41.3878458574527,-64.81322193363849,-36.680128673941,-39.2083073159838,-16.24342085612352
2.6544046522503777,-12.506842813088952,-12.664970681873456,5.845244859409831,15.5281892441335,-62.60246116390863,-25.521935786116956,-42.193236423689086,-66.09318606069246,-39.9652605619749,-42.493439204015885,-16.526890094943155
5.107159365290499,-11.83258299350382,-15.250079104529505,5.319207011648359,16.17647486718215,-63.250028605546504,-26.026295205119823,-42.709055972418355,-67.28361687734468,-43.069550117874314,-45.59772875991439,-16.420603928317178
7.410385262723139,-11.369362645398724,-17.73611464899477,4.525013910068083,16.94963962590009,-63.67686646757102,-26.686335024754953,-43.02651438570501,-68.38451438359698,-45.80156029124555,-48.329738933284716,-16.05180240528898
9.52015953406044,-11.447282029452253,-19.719139386315874,3.5246122683365684,17.77788015740407,-63.89279084788541,-27.483870340052817,-42.77720597068583,-69.39587857944753,-48.020210887061694,-50.54838952909995,-15.20016951465368
11.179264170625174,-12.503640109573098,-21.192259446585012,2.3799488001259306,18.59139309881175,-63.907617844397464,-28.400716246058437,-41.52464444758334,-70.31770946489814,-49.717718834604966,-52.24589747664413,-13.507550951304438
12.29046198157448,-14.431087296261467,-22.169398954256394,1.1529702191110118,19.320375087236243,-63.731163555012245,-29.418687837795005,-39.46724402575819,-71.15000703994701,-51.48560440527672,-54.01378304731497,-11.119924077464475
12.971311496570706,-17.039392173393935,-22.610993818094357,-0.0943767610424402,19.89502275979612,-63.3732440776339,-30.519600210302087,-36.857119289130424,-71.89277130459413,-53.16861717087613,-55.69679581291439,-8.223637895197498
12.538760893838116,-20.079634291709226,-22.70599630261313,-1.3001454266595829,20.2607601136624,-62.843675510170215,-31.68526845861561,-33.97791403204974,-72.54600225884133,-54.71730623178337,-57.245484873819805,-5.030676499474794
11.172391697915373,-23.270079415962755,-22.620867561397972,-2.4023890640692116,20.34179112388938,-62.15227395052443,-32.8975076777715,-31.121305428087,-73.10969990268677,-56.131671587998426,-58.65985023003668,-1.763922531238677
9.10271709767403,-26.323737225720834,-22.20032635185089,-3.3391609596001217,19.973613841048063,-61.30885549660343,-34.13813296280023,-28.562183531746996,-73.58386423612865,-57.411713239522214,-59.93989188155956,1.357579369528139
6.587904191441339,-28.977601469830915,-21.237422466123462,-4.048514399582928,19.003013709312654,-60.32323624631226,-35.38895940873408,-26.5325061130643,-73.96849525917241,-58.557431186354734,-61.08560982839117,4.133359110737729
3.93023340687796,-31.02357257452786,-19.706752521036833,-4.468502670342787,17.421652182547405,-59.20523229755645,-36.63180211061626,-25.19382882512764,-74.26359297181443,-59.568825428494165,-62.09700407053151,6.3962576951316805
1.432602380256867,-32.34106270520897,-17.73001557277894,-4.656880921557786,15.371458770168829,-57.9646597482415,-37.848476163475425,-24.60851070450917,-74.4691573740547,-60.44589596594233,-62.974074607978764,8.027163767212187
-0.6242719878391654,-33.30340631209583,-15.523992145304874,-4.436979618706573,13.09565049005505,-56.61133469627384,-39.02079666234931,-24.295390328290523,-74.58518846589504,-61.18864279869922,-63.71682144073657,9.371508515943333
-2.0036891579838993,-34.1848728928926,-13.137656114286074,-3.1873678195206594,10.66855990989734,-55.15507323955717,-40.13057870227021,-23.960736364797413,-74.61168624733364,-61.797065926764844,-64.32524456880128,10.682743791770918
-2.5338382585578074,-34.826053078706536,-11.314774032185596,-1.0743439336683878,8.848881931430697,-53.605691475998356,-41.159637378274056,-23.810404077938074,-74.54865071837048,-62.27116535013738,-64.79934399217382,11.783233932056646
-2.317282455118402,-35.241309258120964,-10.696003491362717,1.6161462575328187,8.264963067087592,-51.97300550350246,-42.089787785396766,-23.828570377403594,-74.39608187900558,-62.61094106881865,-65.139119710856,12.672978936800973
-2.1430595299370907,-35.44500381972284,-11.403451151463742,4.523042178077958,9.003128308707346,-50.26683141997546,-42.90284501866881,-23.99941217289779,-74.15397972924075,-62.816393082809554,-65.34457172484599,13.351978806003899
-1.7794808649523475,-35.4514991520864,-13.319923284463584,7.225330418621525,10.918718811180952,-48.49698532332195,-43.58062417312976,-24.307106374113573,-73.82234426907416,-62.887521392107374,-65.41570003414381,13.820233539664514
-1.2399064525889116,-35.275157643796774,-16.026916092469037,9.21067896761815,13.634179498241792,-46.67328331144836,-44.104940343810085,-24.7358298907493,-73.40117549850584,-62.824325996713014,-65.35250463874945,14.077743137782818
-0.5656197704120132,-34.93034168343547,-19.0434167402982,10.019207430354072,16.70773206283957,-44.805541482260196,-44.457608625745706,-25.269759632505156,-72.8904734175394,-62.626806896627386,-65.15498553866382,14.12450760036063
0.20209570402585086,-34.431413659585814,-21.967308238572514,9.488543764035057,19.746628499882718,-42.90357593366207,-44.62044411397437,-25.893072509075864,-72.29023802616939,-62.29496409185049,-64.82314273388693,13.960526927395222
1.0219564931594505,-33.79273596083112,-24.446063434097596,7.726666511169242,22.399292660292303,-40.977202763560854,-44.57526190352655,-26.589945430159787,-71.60046932439764,-61.82879758238141,-64.35697622441785,13.585801118889322
1.8526791194344696,-33.02867097575108,-26.1798040120284,5.335024865582454,24.359472634222584,-39.03623806986025,-44.303877089438174,-27.34455530545347,-70.82116731222595,-61.22830736822016,-63.75648601025841,13.00033017484111
2.6529801052893163,-32.15358109292902,-26.962864770430315,3.124202237546342,25.402558900224903,-37.09049795046758,-43.78810476674698,-28.141079044653452,-69.95233198965252,-60.49349344936854,-63.02167209140589,12.204114095251043
3.3815759731678554,-31.181828700944607,-27.30565187990942,1.1282976936081468,26.006467606328442,-35.14979850328746,-43.01444887134312,-28.96369355745992,-68.99396335667916,-59.62435582582475,-62.15253446786119,11.197152880119575
3.997183245504857,-30.127776188382995,-27.368609474347977,-0.431896186607446,26.286578915287464,-33.22395582622585,-42.190060881614045,-29.796575753569414,-67.94606141330405,-58.62089449758787,-61.149073139625216,9.97944652944625
4.458518444746005,-29.005785943825686,-27.062378708884353,-1.4286656545027654,26.093844519215054,-31.32278601718781,-40.80529537620714,-30.62390254267666,-66.8086261595272,-57.48310946466063,-60.011288106697975,8.610738563228551
